,Team,Conference,Current coach,Since,
,South Carolina State Bulldogs,,Mid-Eastern Athletic Conference,,Murray Garvin,,2012–13,
,South Carolina Upstate Spartans,,Big South Conference,,Dave Dickerson,,2018–19,
,South Dakota Coyotes,,Summit League,,Todd Lee,,2018–19,
,South Dakota State Jackrabbits,,Summit League,,T. J.  Otzelberger,,2016–17,
,South Florida Bulls,,American Athletic Conference,,Brian Gregory,,2017–18,
,Southeast Missouri State Redhawks,,Ohio Valley Conference,,Rick Ray,,2015–16,
,Southeastern Louisiana Lions,,Southland Conference,,Jay Ladner,,2014–15,
,Southern Jaguars,,Southwestern Athletic Conference,,Sean Woods,,2018–19,
,Southern Illinois Salukis,,Missouri Valley Conference,,Barry Hinson,,2012–13,
,Southern Miss Golden Eagles,,Conference USA,,Doc Sadler,,2014–15,
,Southern Utah Thunderbirds,,Big Sky Conference,,Todd Simon,,2016–17,
,Stanford Cardinal,,Pac-12 Conference,,Jerod Haase,,2016–17,
,Stephen F. Austin Lumberjacks,,Southland Conference,,Kyle Keller,,2016–17,
,Stetson Hatters,,Atlantic Sun Conference,,Corey Williams,,2013–14,
,Stony Brook Seawolves,,America East Conference,,Jeff Boals,,2016–17,
,Syracuse Orange,,Atlantic Coast Conference,,Jim Boeheim,,1976–77,
,TCU Horned Frogs,,Big 12 Conference,,Jamie Dixon,,2016–17,
,Temple Owls,,American Athletic Conference,,Fran Dunphy,,2006–07,
,Tennessee Volunteers,,Southeastern Conference,,Rick Barnes,,2015–16,
,Tennessee State Tigers,,Ohio Valley Conference,,Brian Collins,,2018–19,
,Tennessee Tech Golden Eagles,,Ohio Valley Conference,,Steve Payne,,2011–12,
,Texas Longhorns,,Big 12 Conference,,Shaka Smart,,2015–16,
,Texas A&M Aggies,,Southeastern Conference,,Billy Kennedy,,2011–12,
,Texas A&M–Corpus Christi Islanders,,Southland Conference,,Willis Wilson,,2011–12,
,Texas–Arlington Mavericks,,Sun Belt Conference,,Chris Ogden,,2018–19,
,Texas Southern Tigers,,Southwestern Athletic Conference,,Johnny Jones,,2018–19,
,Texas State Bobcats,,Sun Belt Conference,,Danny Kaspar,,2013–14,
,Texas Tech Red Raiders,,Big 12 Conference,,Chris Beard,,2016–17,
,Toledo Rockets,,Mid-American Conference,,Tod Kowalczyk,,2010–11,
,Towson Tigers,,Colonial Athletic Association,,Pat Skerry,,2011–12,
,Troy Trojans,,Sun Belt Conference,,Phil Cunningham,,2013–14,
,Tulane Green Wave,,American Athletic Conference,,Mike Dunleavy Sr.,,2016–17,
,Tulsa Golden Hurricane,,American Athletic Conference,,Frank Haith,,2014–15,
,UAB Blazers,,Conference USA,,Robert Ehsan,,2016–17,
,UC Davis Aggies,,Big West Conference,,Jim Les,,2011–12,
,UCF Knights,,American Athletic Conference,,Johnny Dawkins,,2016–17,
,UC Irvine Anteaters,,Big West Conference,,Russell Turner,,2010–11,
,UC Riverside Highlanders,,Big West Conference,,David Patrick,,2018–19,
,UC Santa Barbara Gauchos,,Big West Conference,,Joe Pasternack,,2017–18,
,UCLA Bruins,,Pac-12 Conference,,Steve Alford,,2013–14,
,UIC Flames,,Horizon League,,Steve McClain,,2015–16,
,UMass Minutemen,,Atlantic 10 Conference,,Matt McCall,,2017–18,
,UMass Lowell River Hawks,,America East Conference,,Pat Duquette,,2013–14,
,UMBC Retrievers,,America East Conference,,Ryan Odom,,2016–17,
,UMKC Kangaroos,,Western Athletic Conference,,Kareem Richardson,,2013–14,
,UNC Asheville Bulldogs,,Big South Conference,,Mike Morrell,,2018–19,
,UNC Greensboro Spartans,,Southern Conference,,Wes Miller,,2011–12,
,UNC Wilmington Seahawks,,Colonial Athletic Association,,C.B. McGrath,,2017–18,
,UNLV Runnin' Rebels,,Mountain West Conference,,Marvin Menzies,,2016–17,
,USC Trojans,,Pac-12 Conference,,Andy Enfield,,2013–14,
,UT Martin Skyhawks,,Ohio Valley Conference,,Anthony Stewart,,2016–17,
,Utah Utes,,Pac-12 Conference,,Larry Krystkowiak,,2011–12,
,Utah State Aggies,,Mountain West Conference,,Craig Smith,,2018–19,
,Utah Valley Wolverines,,Western Athletic Conference,,Mark Pope,,2015–16,
,UTEP Miners,,Conference USA,,Rodney Terry,,2018–19,
,UTRGV Vaqueros,,Western Athletic Conference,,Lew Hill,,2016–17,
,UTSA Roadrunners,,Conference USA,,Steve Henson,,2016–17,
,Valparaiso Crusaders,,Missouri Valley Conference,,Matt Lottich,,2016–17,
,Vanderbilt Commodores,,Southeastern Conference,,Bryce Drew,,2016–17,
,VCU Rams,,Atlantic 10 Conference,,Mike Rhoades,,2017–18,
,Vermont Catamounts,,America East Conference,,John Becker,,2011–12,
,Villanova Wildcats,,Big East Conference,,Jay Wright,,2001–02,
,Virginia Cavaliers,,Atlantic Coast Conference,,Tony Bennett,,2009–10,
,Virginia Tech Hokies,,Atlantic Coast Conference,,Buzz Williams,,2014–15,
,VMI Keydets,,Southern Conference,,Dan Earl,,2015–16,
,Wagner Seahawks,,Northeast Conference,,Bashir Mason,,2012–13,
,Wake Forest Demon Deacons,,Atlantic Coast Conference,,Danny Manning,,2014–15,
,Washington Huskies,,Pac-12 Conference,,Mike Hopkins,,2017–18,
,Washington State Cougars,,Pac-12 Conference,,Ernie Kent,,2014–15,
,Weber State Wildcats,,Big Sky Conference,,Randy Rahe,,2006–07,
,West Virginia Mountaineers,,Big 12 Conference,,Bob Huggins,,2007–08,
,Western Carolina Catamounts,,Southern Conference,,Mark Prosser,,2018–19,
,Western Illinois Leathernecks,,Summit League,,Billy Wright,,2014–15,
,Western Kentucky Hilltoppers,,Conference USA,,Rick Stansbury,,2016–17,
,Western Michigan Broncos,,Mid-American Conference,,Steve Hawkins,,2003–04,
,Wichita State Shockers,,American Athletic Conference,,Gregg Marshall,,2007–08,
,William & Mary Tribe,,Colonial Athletic Association,,Tony Shaver,,2003–04,
,Winthrop Eagles,,Big South Conference,,Pat Kelsey,,2012–13,
,Wisconsin Badgers,,Big Ten Conference,,Greg Gard,,2015–16,
,Wofford Terriers,,Southern Conference,,Mike Young,,2002–03,
,Wright State Raiders,,Horizon League,,Scott Nagy,,2016–17,
,Wyoming Cowboys,,Mountain West Conference,,Allen Edwards,,2016–17,
,Xavier Musketeers,,Big East Conference,,Travis Steele,,2018–19,
,Yale Bulldogs,,Ivy League,,James Jones,,1999–2000,
,Youngstown State Penguins,,Horizon League,,Jerrod Calhoun,,2017–18,
